C0153398;C13.9;M-8000/3
C0153405;C14.0;M-8000/3
C0153406;C14.2;M-8000/3
C0496772;C14.8;M-8000/3
C0496773;C15.0;M-8000/3
C0153411;C15.1;M-8000/3
C0496775;C15.2;M-8000/3
C0153413;C15.3;M-8000/3
C0153414;C15.4;M-8000/3
C0153415;C15.5;M-8000/3
C0496776;C15.8;M-8000/3
C0546837;C15.9;M-8000/3
C0153417;C16.0;M-8000/3
C0153420;C16.1;M-8000/3
C0153421;C16.2;M-8000/3
C0153419;C16.3;M-8000/3
C0153418;C16.4;M-8000/3
C0153422;C16.5;M-8000/3
C0153423;C16.6;M-8000/3
C0349049;C16.8;M-8000/3
C0024623;C16.9;M-8000/3
C0153426;C17.0;M-8000/3
C0153427;C17.1;M-8000/3
C0153428;C17.2;M-8000/3
C0153429;C17.3;M-8000/3
C0349050;C17.8;M-8000/3
C0153425;C17.9;M-8000/3
C0153437;C18.0;M-8000/3
C0496779;C18.1;M-8000/3
C0153439;C18.2;M-8000/3
C0153433;C18.3;M-8000/3
C0153434;C18.4;M-8000/3
C0153440;C18.5;M-8000/3
C0153435;C18.6;M-8000/3
C0153436;C18.7;M-8000/3
C0349051;C18.8;M-8000/3
C0007102;C18.9;M-8000/3
C0153443;C19.9;M-8000/3
C0949022;C20.9;M-8000/3
C0153446;C21.0;M-8000/3
C0153445;C21.1;M-8000/3
C0345886;C21.2;M-8000/3
C0496781;C21.8;M-8000/3
C2239176;C22.0;M-8000/3
C0345905;C22.1;M-8000/3
C0206624;C22.0;M-8970/3
C0345907;C22.0;M-9120/3
C0348339;C22.0;M-8800/3
C0348340;C22.0;M-8010/3
C0345904;C22.0;M-8000/3
C0153452;C23.9;M-8000/3
C0153453;C24.0;M-8000/3
C0153454;C24.1;M-8000/3
C0349052;C24.8;M-8000/3
C0750952;C24.9;M-8000/3
C0153458;C25.0;M-8000/3
C0153459;C25.1;M-8000/3
C0153460;C25.2;M-8000/3
C0153461;C25.3;M-8000/3
C0496784;C25.4;M-8000/3
C0496785;C25.7;M-8000/3
C0349053;C25.8;M-8000/3
C0346647;C25.9;M-8000/3
C0346627;C17.9;M-8000/3
C0153470;C42.2;M-8000/3
C0349027;C26.8;M-8000/3
C0348342;C42.2;M-8000/3
C0728864;C30.0;M-8000/3
C0496788;C30.1;M-8000/3
C0153476;C31.0;M-8000/3
C0153477;C31.1;M-8000/3
C0153478;C31.2;M-8000/3
C0153479;C31.3;M-8000/3
C0349041;C31.8;M-8000/3
C0153474;C31.9;M-8000/3
C0153483;C32.0;M-8000/3
C0153484;C32.1;M-8000/3
C0153485;C32.2;M-8000/3
C0153486;C32.3;M-8000/3
C0349040;C32.8;M-8000/3
C0007107;C32.9;M-8000/3
C0153489;C33.9;M-8000/3
C0153490;C34.0;M-8000/3
C0024624;C34.1;M-8000/3
C0153491;C34.2;M-8000/3
C0153492;C34.3;M-8000/3
C0349043;C34.8;M-8000/3
C0348343;C34.9;M-8000/3
C0751552;C37.9;M-8000/3
C0153500;C38.0;M-8000/3
C0153501;C38.1;M-8000/3
C0153502;C38.2;M-8000/3
